User,Phone_Usage,Time_Spent_On_Entertainment_App,Time_Spent_On_Educational_App,Health_Fitness_App,Loneliness_Scale,Confidence_Scale,Grades
1,845.26,2,3,5,2,4,2.863
2,510.1786111,4,1,5,2,4,3.505
3,1063.928611,2,2,5,2,5,2.8
4,515.2488889,1,1,5,3,3,3.029
5,348.5363889,1,2,5,4,2,3.679
6,675.1227778,1,1,5,2,4,3.1
8,373.2669444,4,2,5,3,3,3.705
9,832.2494444,5,1,5,3,3,3.806
10,563.4388889,1,2,4,3,4,3.667
11,775.6533334,1,1,5,4,3,3.4
13,724.3255556,1,2,5,3,3,3.3
14,837.2622222,5,2,5,3,3,3.293
15,590.1541667,5,2,5,2,4,2.815
16,448.8122222,2,1,5,2,4,3.373
17,818.6775,4,2,5,3,4,3.476
18,677.0258333,1,1,5,4,3,3.474
19,612.1588889,2,5,5,4,3,3.947
20,733.75,5,2,3,4,2,3.1
21,529.4891667,5,1,5,2,4,3.3
24,749.1841667,1,2,4,3,3,2.987
25,330.5052778,1,1,5,3,3,3.765
26,469.1027778,1,1,3,3,3,3.5
28,965.2975,5,1,5,3,3,2.954
32,1085.130278,5,4,5,3,3,3.826
33,581.8138889,2,2,5,2,4,2.815
35,359.1283333,1,1,4,3,4,3.5
43,654.8080556,1,2,4,1,4,3.79
46,562.4452778,3,1,4,4,3,3.646
47,821.87,5,5,5,2,4,3.32
48,495.4461111,3,1,5,2,4,3.665
52,528.4336111,1,1,5,3,3,2.4
54,583.2552778,4,2,5,2,4,3.343
57,646.1019445,2,1,5,3,4,3.389
58,854.3880556,4,1,3,2,3,3.089
59,621.6922222,3,1,4,4,2,3.519
60,1017.368611,5,1,5,2,3,2.9
